"场景ID","场景特征","检测性能","模型状态","性能对比","时间"
"S001","高分辨率近岸 | X波段 | HH极化 | 密集停靠","mAP50:0.852\nmAP50-95:0.563\n召回率:0.891\n小目标AP:0.412","MBE-Net v1.0\n推理速度:85FPS\n模型大小:5.2MB","优于Faster R-CNN基线+12.3%","2025-01"
"S008","远海航线 | L波段 | HH极化 | 多尺度","mAP50:0.910\nmAP50-95:0.647\n召回率:0.946\n多尺度AP:0.761","MBE-Net v2.3\n推理速度:105FPS\n模型大小:4.3MB","优于SSD基线+18.3%","2025-11"
"S009","沿海养殖区 | C波段 | VV极化 | 低对比度","mAP50:0.785\nmAP50-95:0.492\n召回率:0.819\n低对比度AP:0.438","MBE-Net v2.3\n推理速度:105FPS\n模型大小:4.3MB","优于YOLOv8n基线+9.3%","2025-11"
"S010","海峡航道 | X波段 | HH+VV | 高速运动","mAP50:0.846\nmAP50-95:0.570\n召回率:0.885\n运动目标AP:0.675","MBE-Net v2.3\n推理速度:105FPS\n模型大小:4.3MB","优于Faster R-CNN基线+13.1%","2025-11"
"S001","高分辨率近岸 | X波段 | HH极化 | 密集停靠","mAP50:0.889\nmAP50-95:0.618\n召回率:0.929\n小目标AP:0.496","MBE-Net v2.3\n推理速度:105FPS\n模型大小:4.3MB","优于Faster R-CNN基线+17.5%","2025-12"
"S002","中等分辨率开阔海域 | C波段 | VV极化 | 小型渔船","mAP50:0.865\nmAP50-95:0.592\n召回率:0.907\n小目标AP:0.538","MBE-Net v2.3\n推理速度:105FPS\n模型大小:4.3MB","优于YOLOv8n基线+13.9%","2025-12"
"S003","低分辨率大范围 | L波段 | HH极化 | 大型货轮","mAP50:0.923\nmAP50-95:0.660\n召回率:0.957\n虚警率:1.2%","MBE-Net v2.3\n推理速度:105FPS\n模型大小:4.3MB","优于SSD基线+19.7%","2025-12"
"S004","高海况复杂背景 | C波段 | VV+VH | 散斑严重","mAP50:0.818\nmAP50-95:0.538\n召回率:0.860\n虚警率:4.2%","MBE-Net v2.3\n推理速度:105FPS\n模型大小:4.3MB","优于YOLOv8n基线+11.2%","2025-12"
"S005","港口区域 | X波段 | HH极化 | 目标密集","mAP50:0.862\nmAP50-95:0.585\n召回率:0.898\n密集目标AP:0.712","MBE-Net v2.3\n推理速度:105FPS\n模型大小:4.3MB","优于Faster R-CNN基线+15.4%","2025-12"
"S006","岛屿周边 | C波段 | HH+HV | 背景杂乱","mAP50:0.839\nmAP50-95:0.560\n召回率:0.873\n虚警率:3.2%","MBE-Net v2.3\n推理速度:105FPS\n模型大小:4.3MB","优于YOLOv8n基线+12.3%","2025-12"
"S007","近岸浅水区 | X波段 | VV极化 | 小目标","mAP50:0.806\nmAP50-95:0.523\n召回率:0.846\n小目标AP:0.508","MBE-Net v2.3\n推理速度:105FPS\n模型大小:4.3MB","优于YOLOv8n基线+11.1%","2025-12"
"S008","远海航线 | L波段 | HH极化 | 多尺度","mAP50:0.915\nmAP50-95:0.654\n召回率:0.951\n多尺度AP:0.772","MBE-Net v2.3\n推理速度:105FPS\n模型大小:4.3MB","优于SSD基线+19.0%","2025-12"
"S009","沿海养殖区 | C波段 | VV极化 | 低对比度","mAP50:0.792\nmAP50-95:0.501\n召回率:0.826\n低对比度AP:0.450","MBE-Net v2.3\n推理速度:105FPS\n模型大小:4.3MB","优于YOLOv8n基线+10.1%","2025-12"
"S010","海峡航道 | X波段 | HH+VV | 高速运动","mAP50:0.853\nmAP50-95:0.579\n召回率:0.892\n运动目标AP:0.688","MBE-Net v2.3\n推理速度:105FPS\n模型大小:4.3MB","优于Faster R-CNN基线+13.9%","2025-12"
